created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks,conductor,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_total_time
2018-07-24 16:08:34,2018-07-24 17:03:47,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/e2b3d28e,n,z",3313.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-23 16:45:31,2018-07-23 19:46:35,27,212,239,2,"https://gerrit.wikimedia.org/r/#/q/b302b0cd,n,z",10864.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-23 16:44:55,2018-07-23 17:22:32,7,166,173,1,"https://gerrit.wikimedia.org/r/#/q/dc282a46,n,z",2257.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-23 16:18:13,2018-07-24 01:54:31,2,4,6,1,"https://gerrit.wikimedia.org/r/#/q/5f7bf194,n,z",34578.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-23 04:23:08,2018-07-23 16:28:45,3,1,4,2,"https://gerrit.wikimedia.org/r/#/q/f8a777b9,n,z",43537.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-12 22:15:38,2018-07-23 00:39:02,376,62,438,17,"https://gerrit.wikimedia.org/r/#/q/0584339f,n,z",872604.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-20 20:03:16,2018-07-21 00:55:08,2,3,5,1,"https://gerrit.wikimedia.org/r/#/q/87ec822c,n,z",17512.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-05-29 08:21:27,2018-07-20 13:47:30,153,0,153,7,"https://gerrit.wikimedia.org/r/#/q/43e4cd5b,n,z",4512363.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-18 10:50:01,2018-07-20 10:21:48,1,0,1,5,"https://gerrit.wikimedia.org/r/#/q/2b7f02aa,n,z",171107.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-20 07:30:59,2018-07-20 09:53:01,3,10,13,1,"https://gerrit.wikimedia.org/r/#/q/b8dee03d,n,z",8522.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-20 08:13:05,2018-07-20 15:13:48,3,5,8,2,"https://gerrit.wikimedia.org/r/#/q/55adc442,n,z",25243.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-17 16:02:49,2018-07-20 04:59:31,48,5,53,7,"https://gerrit.wikimedia.org/r/#/q/4030b2cb,n,z",219402.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-20 04:15:32,2018-07-20 06:12:44,14,2,16,1,"https://gerrit.wikimedia.org/r/#/q/ff7d5965,n,z",7032.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-20 02:08:27,2018-07-20 03:13:03,41,6,47,3,"https://gerrit.wikimedia.org/r/#/q/9742d569,n,z",3876.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-19 05:09:51,2018-07-23 20:55:21,8,3,11,4,"https://gerrit.wikimedia.org/r/#/q/8aaa50b6,n,z",402330.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-19 23:40:32,2018-07-20 00:06:16,3,3,6,1,"https://gerrit.wikimedia.org/r/#/q/3d990d17,n,z",1544.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-19 10:06:21,2018-07-20 00:06:05,6,5,11,9,"https://gerrit.wikimedia.org/r/#/q/88b69410,n,z",50384.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-13 18:24:26,2018-07-20 04:56:09,10,16,26,7,"https://gerrit.wikimedia.org/r/#/q/2fb1ec2a,n,z",556303.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-19 16:18:35,2018-07-20 10:30:37,1,1,2,4,"https://gerrit.wikimedia.org/r/#/q/a5aa4456,n,z",65522.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-19 16:12:39,2018-07-20 10:51:35,1,3,4,3,"https://gerrit.wikimedia.org/r/#/q/e4558d48,n,z",67136.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-19 13:48:02,2018-07-20 00:06:10,18,1,19,3,"https://gerrit.wikimedia.org/r/#/q/78955203,n,z",37088.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2016-12-14 21:19:45,2018-07-19 14:40:26,239,0,239,29,"https://gerrit.wikimedia.org/r/#/q/418cb8d9,n,z",50260841.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-19 14:13:06,2018-07-20 20:37:45,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/af2346f3,n,z",109479.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2017-01-13 05:23:35,2018-07-19 14:26:51,13,1,14,17,"https://gerrit.wikimedia.org/r/#/q/488796a9,n,z",47725396.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-06-25 12:16:33,2018-07-22 23:59:18,63,62,125,14,"https://gerrit.wikimedia.org/r/#/q/04bc03a2,n,z",2374965.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-19 12:41:30,2018-07-19 16:11:24,0,59,59,2,"https://gerrit.wikimedia.org/r/#/q/00096d8f,n,z",12594.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-17 07:47:44,2018-07-19 18:19:56,0,0,0,6,"https://gerrit.wikimedia.org/r/#/q/f29b5e3a,n,z",210732.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-19 09:45:27,2018-07-19 10:23:24,0,291,291,1,"https://gerrit.wikimedia.org/r/#/q/1fb12414,n,z",2277.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-18 08:47:28,2018-07-19 06:58:45,39,25,64,5,"https://gerrit.wikimedia.org/r/#/q/9b0c621d,n,z",79877.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-19 01:20:39,2018-07-19 09:32:52,9,0,9,1,"https://gerrit.wikimedia.org/r/#/q/c85bcf09,n,z",29533.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-18 22:57:11,2018-07-19 08:32:11,1,0,1,1,"https://gerrit.wikimedia.org/r/#/q/5ba1d4ce,n,z",34500.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-10 23:28:53,2018-07-19 01:53:32,19,2,21,11,"https://gerrit.wikimedia.org/r/#/q/12200a23,n,z",699879.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-18 14:00:56,2018-07-18 19:50:21,0,1,1,1,"https://gerrit.wikimedia.org/r/#/q/6ecf8d04,n,z",20965.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-18 18:12:12,2018-07-23 02:55:53,8,5,13,3,"https://gerrit.wikimedia.org/r/#/q/098fd0dc,n,z",377021.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-18 00:02:37,2018-07-19 01:48:56,5,5,10,3,"https://gerrit.wikimedia.org/r/#/q/01165d46,n,z",92779.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-11 13:33:48,2018-07-18 18:25:55,23,7,30,2,"https://gerrit.wikimedia.org/r/#/q/031a4c74,n,z",622327.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-02 15:49:35,2018-07-18 18:21:24,7,1,8,5,"https://gerrit.wikimedia.org/r/#/q/e73f4a21,n,z",1391509.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-11 13:38:26,2018-07-18 18:18:28,12,9,21,4,"https://gerrit.wikimedia.org/r/#/q/de51ba46,n,z",621602.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-18 17:55:24,2018-07-19 02:25:04,0,7,7,1,"https://gerrit.wikimedia.org/r/#/q/6205c06e,n,z",30580.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-18 17:42:56,2018-07-19 17:02:53,6,0,6,1,"https://gerrit.wikimedia.org/r/#/q/af3a8cd8,n,z",83997.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
2018-07-18 15:16:47,2018-07-18 19:20:08,1,1,2,2,"https://gerrit.wikimedia.org/r/#/q/6e05c20c,n,z",14601.0,1.32.0-wmf.14,215,4,Željko Filipin,420228,1,1,4,433977
