created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks
2020-06-30 02:05:54,2020-06-30 08:31:10,946,3,949,2,"https://gerrit.wikimedia.org/r/#/q/11aadd82,n,z",23116.0,1.35.0-wmf.39,358,1
2020-05-14 16:55:30,2020-06-29 22:41:04,14,4,18,27,"https://gerrit.wikimedia.org/r/#/q/5e9604f4,n,z",3995134.0,1.35.0-wmf.39,358,1
2020-06-29 20:02:41,2020-06-29 22:06:05,0,19,19,7,"https://gerrit.wikimedia.org/r/#/q/6f2a8eb1,n,z",7404.0,1.35.0-wmf.39,358,1
2020-06-25 22:57:18,2020-06-30 01:14:31,18,15,33,3,"https://gerrit.wikimedia.org/r/#/q/26af2ff1,n,z",353833.0,1.35.0-wmf.39,358,1
2020-06-25 19:52:01,2020-06-29 15:20:35,1,1,2,6,"https://gerrit.wikimedia.org/r/#/q/16930034,n,z",329314.0,1.35.0-wmf.39,358,1
2018-03-03 16:28:25,2020-06-28 23:39:45,5,1,6,28,"https://gerrit.wikimedia.org/r/#/q/f235f192,n,z",73293080.0,1.35.0-wmf.39,358,1
2020-06-17 00:50:52,2020-06-28 20:42:38,6,5,11,15,"https://gerrit.wikimedia.org/r/#/q/0d735128,n,z",1021906.0,1.35.0-wmf.39,358,1
2020-06-28 13:43:28,2020-06-29 17:17:57,8,0,8,3,"https://gerrit.wikimedia.org/r/#/q/dea48428,n,z",99269.0,1.35.0-wmf.39,358,1
2020-06-02 17:27:37,2020-06-29 08:28:45,31,3,34,5,"https://gerrit.wikimedia.org/r/#/q/63eaa9ae,n,z",2300468.0,1.35.0-wmf.39,358,1
2020-06-28 13:35:54,2020-06-28 13:56:14,2,6,8,1,"https://gerrit.wikimedia.org/r/#/q/82a439c9,n,z",1220.0,1.35.0-wmf.39,358,1
2020-06-28 11:55:09,2020-06-28 13:14:47,6,2,8,1,"https://gerrit.wikimedia.org/r/#/q/c3047636,n,z",4778.0,1.35.0-wmf.39,358,1
2020-06-28 08:39:30,2020-06-29 14:51:57,2,2,4,1,"https://gerrit.wikimedia.org/r/#/q/496f501e,n,z",108747.0,1.35.0-wmf.39,358,1
2020-06-22 16:48:40,2020-06-28 01:50:59,19,0,19,30,"https://gerrit.wikimedia.org/r/#/q/9e274680,n,z",464539.0,1.35.0-wmf.39,358,1
2020-03-24 20:21:17,2020-06-27 09:53:22,2,5,7,2,"https://gerrit.wikimedia.org/r/#/q/e479b9ec,n,z",8170325.0,1.35.0-wmf.39,358,1
2020-06-27 01:13:01,2020-06-27 09:21:00,57,33,90,3,"https://gerrit.wikimedia.org/r/#/q/94169ee8,n,z",29279.0,1.35.0-wmf.39,358,1
2020-06-26 23:46:09,2020-06-27 00:59:31,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/ce31b89e,n,z",4402.0,1.35.0-wmf.39,358,1
2020-06-02 01:05:07,2020-06-29 18:09:33,28,0,28,20,"https://gerrit.wikimedia.org/r/#/q/970e8586,n,z",2394266.0,1.35.0-wmf.39,358,1
2020-06-15 18:48:20,2020-06-26 19:00:37,33,4,37,8,"https://gerrit.wikimedia.org/r/#/q/5259ec87,n,z",951137.0,1.35.0-wmf.39,358,1
2020-06-26 12:35:12,2020-06-26 17:17:10,36,34,70,4,"https://gerrit.wikimedia.org/r/#/q/db4ac19f,n,z",16918.0,1.35.0-wmf.39,358,1
2020-06-24 22:07:15,2020-06-26 12:55:16,7,7,14,3,"https://gerrit.wikimedia.org/r/#/q/26ac7d1f,n,z",139681.0,1.35.0-wmf.39,358,1
2020-06-26 12:16:10,2020-06-26 17:12:11,72,72,144,1,"https://gerrit.wikimedia.org/r/#/q/f59bf8a2,n,z",17761.0,1.35.0-wmf.39,358,1
2020-06-10 18:33:56,2020-06-26 15:13:53,629,87,716,25,"https://gerrit.wikimedia.org/r/#/q/46eabe27,n,z",1370397.0,1.35.0-wmf.39,358,1
2020-06-26 10:08:20,2020-06-26 17:40:04,6,1,7,1,"https://gerrit.wikimedia.org/r/#/q/b6918c6a,n,z",27104.0,1.35.0-wmf.39,358,1
2020-06-05 08:20:35,2020-06-26 14:26:22,171,28,199,8,"https://gerrit.wikimedia.org/r/#/q/01b959fb,n,z",1836347.0,1.35.0-wmf.39,358,1
2020-06-26 09:33:33,2020-06-26 16:25:55,1,4,5,1,"https://gerrit.wikimedia.org/r/#/q/a77226d1,n,z",24742.0,1.35.0-wmf.39,358,1
2020-06-25 23:05:22,2020-06-25 23:49:44,2,3,5,1,"https://gerrit.wikimedia.org/r/#/q/1b0f9e07,n,z",2662.0,1.35.0-wmf.39,358,1
2020-06-17 20:14:59,2020-06-26 19:09:24,16,25,41,2,"https://gerrit.wikimedia.org/r/#/q/a5e9fe1a,n,z",773665.0,1.35.0-wmf.39,358,1
2020-06-25 02:11:53,2020-06-25 19:28:27,1,1,2,3,"https://gerrit.wikimedia.org/r/#/q/99e992a1,n,z",62194.0,1.35.0-wmf.39,358,1
2020-05-12 18:29:29,2020-06-25 18:03:13,173,78,251,15,"https://gerrit.wikimedia.org/r/#/q/7452d8c0,n,z",3800024.0,1.35.0-wmf.39,358,1
2020-06-24 18:40:08,2020-06-25 18:56:13,7,5,12,9,"https://gerrit.wikimedia.org/r/#/q/4093985c,n,z",87365.0,1.35.0-wmf.39,358,1
2020-06-16 18:08:22,2020-06-26 10:07:52,36,26,62,2,"https://gerrit.wikimedia.org/r/#/q/ece3f330,n,z",835170.0,1.35.0-wmf.39,358,1
2020-06-10 00:10:50,2020-06-25 14:56:29,4,4,8,1,"https://gerrit.wikimedia.org/r/#/q/1a87bec7,n,z",1349139.0,1.35.0-wmf.39,358,1
2020-06-08 23:42:09,2020-06-26 10:42:52,32,22,54,1,"https://gerrit.wikimedia.org/r/#/q/d1e7b757,n,z",1508443.0,1.35.0-wmf.39,358,1
2020-06-25 11:43:11,2020-06-25 13:47:06,2,13,15,3,"https://gerrit.wikimedia.org/r/#/q/4477f9b7,n,z",7435.0,1.35.0-wmf.39,358,1
