created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,version,patches,rollbacks,conductor,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_time
2020-09-15 02:06:59,2020-09-15 06:53:03,966,3,969,1,"https://gerrit.wikimedia.org/r/#/q/7269b6b5,n,z",17164.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-03-04 05:12:13,2020-09-15 01:25:56,9,5,14,6,"https://gerrit.wikimedia.org/r/#/q/aedb7dce,n,z",16834423.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-14 23:16:15,2020-09-14 23:46:03,3,115,118,2,"https://gerrit.wikimedia.org/r/#/q/aa760f44,n,z",1788.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-14 21:58:30,2020-09-14 22:29:53,2,2,4,1,"https://gerrit.wikimedia.org/r/#/q/50fe6326,n,z",1883.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-14 20:25:53,2020-09-14 21:58:29,0,1,1,2,"https://gerrit.wikimedia.org/r/#/q/370856f0,n,z",5556.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-14 05:39:33,2020-09-14 19:13:09,1,24,25,7,"https://gerrit.wikimedia.org/r/#/q/6f0da948,n,z",48816.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-14 11:02:37,2020-09-14 20:34:22,0,6,6,3,"https://gerrit.wikimedia.org/r/#/q/4f595b7a,n,z",34305.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-14 16:00:37,2020-09-14 16:27:20,1,1,2,2,"https://gerrit.wikimedia.org/r/#/q/5d798707,n,z",1603.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-14 10:13:05,2020-09-14 20:23:59,3,1,4,2,"https://gerrit.wikimedia.org/r/#/q/0d76375f,n,z",36654.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-14 05:15:29,2020-09-14 14:51:11,13,37,50,3,"https://gerrit.wikimedia.org/r/#/q/c51c4951,n,z",34542.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-14 01:01:34,2020-09-14 09:51:37,8,29,37,4,"https://gerrit.wikimedia.org/r/#/q/7d80fc0a,n,z",31803.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-14 00:04:30,2020-09-14 08:56:19,3,1,4,2,"https://gerrit.wikimedia.org/r/#/q/987c7238,n,z",31909.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-13 23:08:36,2020-09-15 01:10:49,5,4,9,2,"https://gerrit.wikimedia.org/r/#/q/5cf9ac00,n,z",93733.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-13 23:11:25,2020-09-14 04:46:44,3,3,6,2,"https://gerrit.wikimedia.org/r/#/q/3d18c1de,n,z",20119.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-13 23:17:39,2020-09-14 05:06:27,0,1,1,2,"https://gerrit.wikimedia.org/r/#/q/fa14e5f1,n,z",20928.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-08-30 18:06:22,2020-09-13 23:14:18,180,98,278,3,"https://gerrit.wikimedia.org/r/#/q/addb098c,n,z",1228076.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-13 08:39:28,2020-09-13 10:00:34,2,2,4,4,"https://gerrit.wikimedia.org/r/#/q/b278c740,n,z",4866.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-08-16 07:11:35,2020-09-13 09:24:18,6,2,8,6,"https://gerrit.wikimedia.org/r/#/q/81ac2fc8,n,z",2427163.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-12 22:42:03,2020-09-13 02:40:03,2,1,3,5,"https://gerrit.wikimedia.org/r/#/q/a522937a,n,z",14280.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-08-02 23:09:35,2020-09-12 23:29:04,2,1,3,1,"https://gerrit.wikimedia.org/r/#/q/66f73541,n,z",3543569.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
2020-09-12 22:33:43,2020-09-12 23:24:43,2,1,3,1,"https://gerrit.wikimedia.org/r/#/q/9e0d0781,n,z",3060.0,1.36.0-wmf.9,360,1,Lars Wirzenius,83299,0,0,0,1138854
